AREA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
267051.5,,,,,,,,,,,,,,,,,
372761.5,,,,,,,,,,,,,,,,,
177979,,,,,,,,,,,,,,,,,
184454.5,,,,,,,,,,,,,,,,,
117939,,,,,,,,,,,,,,,,,
49188,,,,,,,,,,,,,,,,,
1705188,,,,,,,,,,,,,,,,,
147514.5,,,,,,,,,,,,,,,,,
167310,,,,,,,,,,,,,,,,,
216442.5,,,,,,,,,,,,,,,,,
172529,,,,,,,,,,,,,,,,,
160719,,,,,,,,,,,,,,,,,
229434.5,,,,,,,,,,,,,,,,,
313120,,,,,,,,,,,,,,,,,
74311.5,,,,,,,,,,,,,,,,,
